university,year,operating_grant,special_purpose_grants
University of Toronto,2016,856086566,69825615
University of Toronto,2017,824561324,67625067
University of Toronto,2018,905122090,61987241
University of Toronto,2019,795391106,80175318
University of Toronto,2020,713291542,54063376
University of Toronto,2021,937373103,68495839
University of Toronto,2022,971719018,62331270
University of Toronto,2023,1031943983,103331884
University of Toronto,2024,804790910,87905142
University of Toronto,2025,646674331,19412517
University of Toronto,2026,892036415,93313425
University of Waterloo,2016,750775290,82461200
University of Waterloo,2017,776314470,48251416
University of Waterloo,2018,750322232,51314574
University of Waterloo,2019,816948971,88824147
University of Waterloo,2020,754160732,47829886
University of Waterloo,2021,878201476,34107526
University of Waterloo,2022,716616829,37965728
University of Waterloo,2023,719426941,24005446
University of Waterloo,2024,739911269,23255348
University of Waterloo,2025,831232461,50494156
University of Waterloo,2026,881799156,74398966
McMaster University,2016,656112548,69271419
McMaster University,2017,661458684,44577103
McMaster University,2018,645384710,70536347
McMaster University,2019,693987698,33681815
McMaster University,2020,658425345,46758129
McMaster University,2021,697826997,30789692
McMaster University,2022,595917954,34569212
McMaster University,2023,665359983,23039695
McMaster University,2024,684337881,62041441
McMaster University,2025,604158776,51765320
McMaster University,2026,785680301,37677491
Western University,2016,608803950,19962202
Western University,2017,591500518,30661464
Western University,2018,604172874,41164802
Western University,2019,628663869,65712448
Western University,2020,590971427,31032664
Western University,2021,593057554,63439222
Western University,2022,635568200,64547285
Western University,2023,665395633,68217090
Western University,2024,774506413,58634407
Western University,2025,739240753,73302692
Western University,2026,975775232,86563746
Queen's University,2016,311312343,30523097
Queen's University,2017,321260847,31928038
Queen's University,2018,328202258,28159004
Queen's University,2019,331467258,27979569
Queen's University,2020,349704629,35134705
Queen's University,2021,320125871,10352801
Queen's University,2022,309384259,27683907
Queen's University,2023,344653530,14772123
Queen's University,2024,363405471,25655488
Queen's University,2025,369453272,11272340
Queen's University,2026,405242186,43966708
York University,2016,1016134800,39901081
York University,2017,1024282624,53946339
York University,2018,1047703642,32975652
York University,2019,1121243470,68813062
York University,2020,1016351006,91772335
York University,2021,944270480,99888548
York University,2022,1100335579,100877383
York University,2023,1072842850,37156449
York University,2024,1447730867,52082919
York University,2025,1029399762,84210965
York University,2026,1599210879,124021472
University of Ottawa,2016,1023860299,93818974
University of Ottawa,2017,998638192,84548334
University of Ottawa,2018,986090970,108243166
University of Ottawa,2019,1038312376,66550116
University of Ottawa,2020,917456135,78437525
University of Ottawa,2021,1026366753,37555255
University of Ottawa,2022,1174181173,124544322
University of Ottawa,2023,1307841216,55040015
University of Ottawa,2024,1234908043,78513212
University of Ottawa,2025,1121926426,90968123
University of Ottawa,2026,876146579,95253089
Carleton University,2016,367463424,20452800
Carleton University,2017,378104796,17403684
Carleton University,2018,387938014,38580367
Carleton University,2019,391153281,26489915
Carleton University,2020,413304649,17664499
Carleton University,2021,360514367,11330588
Carleton University,2022,313136953,16763297
Carleton University,2023,391494489,11783415
Carleton University,2024,333247551,25948714
Carleton University,2025,324648404,24242474
Carleton University,2026,460884906,22142390
Toronto Metropolitan University,2016,373869243,19261546
Toronto Metropolitan University,2017,373772437,35061621
Toronto Metropolitan University,2018,376842680,11655609
Toronto Metropolitan University,2019,349720162,12518495
Toronto Metropolitan University,2020,358931555,19142898
Toronto Metropolitan University,2021,293805504,29030860
Toronto Metropolitan University,2022,343467332,37414929
Toronto Metropolitan University,2023,404019541,16726264
Toronto Metropolitan University,2024,574801758,49546300
Toronto Metropolitan University,2025,414736860,31010660
Toronto Metropolitan University,2026,359997603,20897916
Brock University,2016,222606240,21361544
Brock University,2017,219726451,23773811
Brock University,2018,219088930,10093148
Brock University,2019,242220185,8064643
Brock University,2020,228804648,24281663
Brock University,2021,256108779,13806022
Brock University,2022,247564057,26189315
Brock University,2023,282783828,22334447
Brock University,2024,265080173,18224759
Brock University,2025,274908721,21387367
Brock University,2026,354323686,32848145
Lakehead University,2016,159790594,12377745
Lakehead University,2017,160384165,13155276
Lakehead University,2018,177727569,10009864
Lakehead University,2019,161893313,10946352
Lakehead University,2020,166790777,5586312
Lakehead University,2021,169049717,5353617
Lakehead University,2022,137491526,9550456
Lakehead University,2023,201342931,7353470
Lakehead University,2024,144312577,9159805
Lakehead University,2025,164843086,7629970
Lakehead University,2026,169541258,18117593
Laurentian University,2016,224934935,14404713
Laurentian University,2017,222671238,24273829
Laurentian University,2018,218521742,7256830
Laurentian University,2019,235933439,15356726
Laurentian University,2020,238708486,16455015
Laurentian University,2021,191889776,19762549
Laurentian University,2022,216343295,17272270
Laurentian University,2023,289647916,11738101
Laurentian University,2024,276178184,24100964
Laurentian University,2025,263710852,18296846
Laurentian University,2026,240595230,11976466
