year,total_domestic_enrolment,total_international_enrolment,total_enrolment,total_tuition_revenue,total_operating_grant,total_special_purpose_grants,avg_funding_per_student,avg_international_share,avg_grant_dependency_ratio,sector_international_share,sector_grant_dependency_ratio,sector_funding_per_student
2016,311674.0,96055,407729.0,7042721258.62,6571750232,493621936,17670.4158,0.2436,0.4864,0.2356,0.4827,16117.9367
2017,315365.0,100161,415526.0,7439468992.58,6552675746,475205982,17377.4458,0.2499,0.4779,0.241,0.4683,15769.5926
2018,312802.0,108850,421652.0,8009213672.9,6647117711,471976604,17233.5017,0.2654,0.4657,0.2582,0.4535,15764.4638
2019,322488.0,110592,433080.0,8382395895.7,6806935128,505112606,17584.5625,0.261,0.467,0.2554,0.4481,15717.5005
2020,308993.0,119364,428357.0,7655670118.63,6406900931,468159007,16936.2158,0.2815,0.4665,0.2787,0.4556,14956.919
2021,334438.0,130455,464893.0,9238262501.52,6668590377,423912519,15665.0583,0.2808,0.4477,0.2806,0.4192,14344.3553
2022,338923.0,127811,466734.0,8833412009.3,6761726175,559709374,15990.7367,0.2762,0.4363,0.2738,0.4336,14487.3229
2023,308563.0,128936,437499.0,8923023837.53,7376752841,395498399,18519.7,0.3034,0.4588,0.2947,0.4526,16861.1879
2024,348337.0,89789,438126.0,6743231230.8,7643211097,515068499,21024.1508,0.2032,0.5439,0.2049,0.5313,17445.2352
2025,331592.0,89564,421156.0,6836777735.79,6784933704,483993430,18571.3283,0.2357,0.507,0.2127,0.4981,16110.2625
2026,318446.0,118381,436827.0,8197101909.57,8001233431,661177407,20436.4667,0.2316,0.5323,0.271,0.494,18316.7099
