university,university_profile,avg_total_enrolment,latest_total_enrolment,avg_international_share,latest_international_share,avg_funding_per_student,latest_funding_per_student,avg_grant_dependency_ratio,latest_grant_dependency_ratio,avg_total_tuition_revenue,latest_total_tuition_revenue,avg_operating_grant,latest_operating_grant
Brock University,smaller_regional,10014.36,12472.0,0.2,0.14,25465.09,28409.53,0.61,0.69,161480532.9,156424089.9,255746881.64,354323686
Carleton University,mid_comprehensive,24343.82,28893.0,0.24,0.29,15522.51,15951.44,0.46,0.48,450692821.43,496902024.78,374717348.55,460884906
Lakehead University,northern_regional,13643.36,14086.0,0.22,0.1,12110.19,12036.15,0.43,0.5,221477216.18,168155961.32,164833410.27,169541258
Laurentian University,northern_regional,7327.18,5639.0,0.33,0.16,33196.38,42666.29,0.61,0.74,158936890.91,83451695.24,238103190.27,240595230
McMaster University,large_research,59611.55,47120.0,0.16,0.27,11402.68,16674.03,0.43,0.49,888180653.52,804937971.12,668059170.64,785680301
Queen's University,mid_research,28640.91,24381.0,0.31,0.13,12014.08,16621.23,0.37,0.53,589102890.99,359875383.98,341291993.09,405242186
Toronto Metropolitan University,mid_comprehensive,20873.18,22104.0,0.25,0.15,18805.13,16286.54,0.5,0.52,390813223.63,326475462.0,383996788.64,359997603
University of Ottawa,large_comprehensive,55351.91,51605.0,0.27,0.35,19393.71,16977.94,0.51,0.49,1030999171.27,909406387.18,1064157105.64,876146579
University of Toronto,large_research,54992.82,57275.0,0.18,0.24,15613.1,15574.62,0.5,0.47,844416644.52,1011190673.12,852635489.82,892036415
University of Waterloo,large_research,51262.55,41547.0,0.3,0.44,15424.06,21224.14,0.43,0.47,1033964842.24,990900454.5,783246347.91,881799156
Western University,large_research,63253.73,79287.0,0.32,0.35,10640.36,12306.88,0.35,0.32,1311325333.64,2118238526.75,673423311.18,975775232
York University,large_comprehensive,44464.55,52418.0,0.3,0.18,25332.26,30508.81,0.57,0.67,855089702.67,771143279.68,1129045996.27,1599210879
