university,year,university_profile,domestic_enrolment,international_enrolment,graduate_share,professional_program_share,avg_domestic_tuition,avg_international_tuition,operating_grant,special_purpose_grants,inflation_rate,provincial_budget_growth,tuition_policy,international_policy_pressure,total_enrolment,international_share,domestic_share,domestic_tuition_revenue,international_tuition_revenue,total_tuition_revenue,total_grants,funding_per_student,grant_dependency_ratio,international_tuition_dependency_ratio,total_enrolment_yoy_growth,tuition_revenue_yoy_growth,operating_grant_yoy_growth,high_international_exposure_flag,high_grant_dependency_flag
Brock University,2016,smaller_regional,7486.0,1896,0.267,0.168,9460.26,36824.9,222606240,21361544,0.061,0.012,market_growth,0,9382.0,0.2021,0.7979,70819506.36,69820010.4,140639516.76,243967784,23726.95,0.6128,0.4964,,,,0,1
Brock University,2017,smaller_regional,7427.0,1963,0.187,0.064,8642.06,50706.02,219726451,23773811,0.041,0.007,market_growth,0,9390.0,0.2091,0.7909,64184579.62,99535917.26,163720496.88,243500262,23400.05,0.573,0.608,0.0009,0.1641,-0.0129,0,1
Brock University,2018,smaller_regional,7281.0,2330,0.166,0.077,7765.25,50290.36,219088930,10093148,0.045,-0.005,market_growth,0,9611.0,0.2424,0.7576,56538785.25,117176538.8,173715324.05,229182078,22795.64,0.5578,0.6745,0.0235,0.061,-0.0029,0,1
Brock University,2019,smaller_regional,7135.0,1977,0.211,0.045,8889.0,37518.38,242220185,8064643,0.034,0.043,tuition_freeze,0,9112.0,0.217,0.783,63423015.0,74173837.26,137596852.26,250284828,26582.55,0.6377,0.5391,-0.0519,-0.2079,0.1056,0,1
Brock University,2020,smaller_regional,7378.0,1755,0.241,0.078,8500.0,56703.26,228804648,24281663,0.026,0.024,tuition_freeze,0,9133.0,0.1922,0.8078,62713000.0,99514221.3,162227221.3,253086311,25052.52,0.5851,0.6134,0.0023,0.179,-0.0554,0,1
Brock University,2021,smaller_regional,7705.0,2671,0.236,0.169,8201.0,45798.5,256108779,13806022,0.03,0.031,tuition_freeze,0,10376.0,0.2574,0.7426,63188705.0,122327793.5,185516498.5,269914801,24682.8,0.5799,0.6594,0.1361,0.1436,0.1193,0,1
Brock University,2022,smaller_regional,6871.0,2578,0.202,0.149,9115.0,47526.6,247564057,26189315,0.019,0.043,tuition_freeze,0,9449.0,0.2728,0.7272,62629165.0,122523574.8,185152739.8,273753372,26200.03,0.5721,0.6617,-0.0893,-0.002,-0.0334,0,1
Brock University,2023,smaller_regional,8258.0,2570,0.195,0.145,8840.0,46727.73,282783828,22334447,0.037,-0.001,tuition_freeze,0,10828.0,0.2373,0.7627,73000720.0,120090266.1,193090986.1,305118275,26115.98,0.5942,0.6219,0.1459,0.0429,0.1423,0,1
Brock University,2024,smaller_regional,9392.0,1385,0.133,0.045,9481.0,35349.5,265080173,18224759,0.016,-0.005,tuition_freeze,1,10777.0,0.1285,0.8715,89045552.0,48959057.5,138004609.5,283304932,24596.84,0.6576,0.3548,-0.0047,-0.2853,-0.0626,0,1
Brock University,2025,smaller_regional,8329.0,1299,0.27,0.168,8399.0,54074.1,274908721,21387367,0.041,0.005,tuition_freeze,1,9628.0,0.1349,0.8651,69955271.0,70242255.9,140197526.9,296296088,28553.05,0.6623,0.501,-0.1066,0.0159,0.0371,0,1
Brock University,2026,smaller_regional,10737.0,1735,0.196,0.074,7492.0,43793.94,354323686,32848145,0.058,0.011,tuition_freeze,1,12472.0,0.1391,0.8609,80441604.0,75982485.9,156424089.9,387171831,28409.53,0.6937,0.4857,0.2954,0.1157,0.2889,0,1
Carleton University,2016,mid_comprehensive,17974.0,5767,0.307,0.045,9034.7,44314.21,367463424,20452800,0.061,0.012,market_growth,0,23741.0,0.2429,0.7571,162389697.8,255560049.07,417949746.87,387916224,15478.01,0.4679,0.6115,,,,0,0
Carleton University,2017,mid_comprehensive,18262.0,6008,0.23,0.099,8771.66,52156.01,378104796,17403684,0.041,0.007,market_growth,0,24270.0,0.2475,0.7525,160188054.92,313353308.08,473541363.0,395508480,15579.1,0.444,0.6617,0.0223,0.133,0.029,0,0
Carleton University,2018,mid_comprehensive,19503.0,7137,0.266,0.058,8843.53,55780.52,387938014,38580367,0.045,-0.005,market_growth,0,26640.0,0.2679,0.7321,172475365.59,398105571.24,570580936.83,426518381,14562.24,0.4047,0.6977,0.0977,0.2049,0.026,0,0
Carleton University,2019,mid_comprehensive,18898.0,5492,0.293,0.119,8623.0,63073.42,391153281,26489915,0.034,0.043,tuition_freeze,0,24390.0,0.2252,0.7748,162957454.0,346399222.64,509356676.64,417643196,16037.44,0.4344,0.6801,-0.0845,-0.1073,0.0083,0,0
Carleton University,2020,mid_comprehensive,19590.0,5779,0.268,0.073,7112.0,44323.19,413304649,17664499,0.026,0.024,tuition_freeze,0,25369.0,0.2278,0.7722,139324080.0,256143715.01,395467795.01,430969148,16291.72,0.511,0.6477,0.0401,-0.2236,0.0566,0,1
Carleton University,2021,mid_comprehensive,19785.0,4577,0.219,0.095,8658.0,47124.17,360514367,11330588,0.03,0.031,tuition_freeze,0,24362.0,0.1879,0.8121,171298530.0,215687326.09,386985856.09,371844955,14798.23,0.4823,0.5574,-0.0397,-0.0214,-0.1277,0,0
Carleton University,2022,mid_comprehensive,17693.0,7010,0.131,0.174,7127.0,55633.61,313136953,16763297,0.019,0.043,tuition_freeze,0,24703.0,0.2838,0.7162,126098011.0,389991606.1,516089617.1,329900250,12676.07,0.3776,0.7557,0.014,0.3336,-0.1314,0,0
Carleton University,2023,mid_comprehensive,18049.0,10166,0.311,0.135,9426.0,39046.11,391494489,11783415,0.037,-0.001,tuition_freeze,0,28215.0,0.3603,0.6397,170129874.0,396942754.26,567072628.26,403277904,13875.4,0.4084,0.7,0.1422,0.0988,0.2502,1,0
Carleton University,2024,mid_comprehensive,15777.0,1828,0.138,0.124,8943.0,55257.1,333247551,25948714,0.016,-0.005,tuition_freeze,1,17605.0,0.1038,0.8962,141093711.0,101009978.8,242103689.8,359196265,18929.14,0.5792,0.4172,-0.376,-0.5731,-0.1488,0,1
Carleton University,2025,mid_comprehensive,15272.0,4322,0.276,0.056,8111.0,59625.06,324648404,24242474,0.041,0.005,tuition_freeze,1,19594.0,0.2206,0.7794,123871192.0,257699509.32,381570701.32,348890878,16568.77,0.4597,0.6754,0.113,0.5761,-0.0258,0,0
Carleton University,2026,mid_comprehensive,20622.0,8271,0.314,0.136,8801.0,38134.18,460884906,22142390,0.058,0.011,tuition_freeze,1,28893.0,0.2863,0.7137,181494222.0,315407802.78,496902024.78,483027296,15951.44,0.4812,0.6347,0.4746,0.3023,0.4196,0,0
Lakehead University,2016,northern_regional,10600.0,2401,0.161,0.163,8425.43,45761.84,159790594,12377745,0.061,0.012,market_growth,0,13001.0,0.1847,0.8153,89309558.0,109874177.84,199183735.84,172168339,12290.64,0.4451,0.5516,,,,0,0
Lakehead University,2017,northern_regional,10021.0,2483,0.286,0.083,7163.51,43811.68,160384165,13155276,0.041,0.007,market_growth,0,12504.0,0.1986,0.8014,71785533.71,108784401.44,180569935.15,173539441,12826.63,0.4704,0.6025,-0.0382,-0.0935,0.0037,0,0
Lakehead University,2018,northern_regional,10554.0,3156,0.204,0.15,6870.81,56215.37,177727569,10009864,0.045,-0.005,market_growth,0,13710.0,0.2302,0.7698,72514528.74,177415707.72,249930236.46,187737433,12963.35,0.4156,0.7099,0.0964,0.3841,0.1081,0,0
Lakehead University,2019,northern_regional,11538.0,2908,0.301,0.126,7550.0,48565.09,161893313,10946352,0.034,0.043,tuition_freeze,0,14446.0,0.2013,0.7987,87111900.0,141227281.72,228339181.72,172839665,11206.79,0.4149,0.6185,0.0537,-0.0864,-0.0891,0,0
Lakehead University,2020,northern_regional,10985.0,2970,0.247,0.118,7164.0,38450.62,166790777,5586312,0.026,0.024,tuition_freeze,0,13955.0,0.2128,0.7872,78696540.0,114198341.4,192894881.4,172377089,11952.04,0.4637,0.592,-0.034,-0.1552,0.0303,0,0
Lakehead University,2021,northern_regional,11280.0,2741,0.229,0.103,7281.0,47116.89,169049717,5353617,0.03,0.031,tuition_freeze,0,14021.0,0.1955,0.8045,82129680.0,129147395.49,211277075.49,174403334,12056.89,0.4445,0.6113,0.0047,0.0953,0.0135,0,0
Lakehead University,2022,northern_regional,10809.0,3530,0.225,0.138,9143.0,37712.9,137491526,9550456,0.019,0.043,tuition_freeze,0,14339.0,0.2462,0.7538,98826687.0,133126537.0,231953224.0,147041982,9588.64,0.3722,0.5739,0.0227,0.0979,-0.1867,0,0
Lakehead University,2023,northern_regional,10938.0,4732,0.288,0.148,8464.0,33901.0,201342931,7353470,0.037,-0.001,tuition_freeze,0,15670.0,0.302,0.698,92579232.0,160419532.0,252998764.0,208696401,12848.94,0.4432,0.6341,0.0928,0.0907,0.4644,1,0
